


As of:;Nov 07, 2024


Effective date ;S&P 500 (TR)
03/02/2016;3581.53
04/02/2016;3587.71
05/02/2016;3521.6
08/02/2016;3472.08
09/02/2016;3470.5
10/02/2016;3471.04
11/02/2016;3428.99
12/02/2016;3496.28
16/02/2016;3555.2
17/02/2016;3614.16
18/02/2016;3597.49
19/02/2016;3597.92
22/02/2016;3649.92
23/02/2016;3604.68
24/02/2016;3620.87
25/02/2016;3662.84
26/02/2016;3656.42
29/02/2016;3627.06
01/03/2016;3713.7
02/03/2016;3729.59
03/03/2016;3743.02
04/03/2016;3755.47
07/03/2016;3759.05
08/03/2016;3717.49
09/03/2016;3736.92
10/03/2016;3737.74
11/03/2016;3800.07
14/03/2016;3795.53
15/03/2016;3788.62
16/03/2016;3810.09
17/03/2016;3835.26
18/03/2016;3852.15
21/03/2016;3855.97
22/03/2016;3853.18
23/03/2016;3828.58
24/03/2016;3827.14
28/03/2016;3829.26
29/03/2016;3863.8
30/03/2016;3881.01
31/03/2016;3873.11
01/04/2016;3897.66
04/04/2016;3886
05/04/2016;3846.59
06/04/2016;3888.41
07/04/2016;3841.98
08/04/2016;3852.72
11/04/2016;3842.17
12/04/2016;3879.42
13/04/2016;3918.95
14/04/2016;3920.03
15/04/2016;3916.17
18/04/2016;3941.86
19/04/2016;3954.01
20/04/2016;3957.25
21/04/2016;3936.8
22/04/2016;3937
25/04/2016;3929.88
26/04/2016;3937.23
27/04/2016;3944.02
28/04/2016;3907.88
29/04/2016;3888.13
02/05/2016;3918.53
03/05/2016;3884.63
04/05/2016;3862.4
05/05/2016;3862.4
06/05/2016;3875.18
09/05/2016;3878.14
10/05/2016;3926.63
11/05/2016;3891.13
12/05/2016;3890.85
13/05/2016;3858.17
16/05/2016;3896.36
17/05/2016;3860.88
18/05/2016;3862.25
19/05/2016;3847.97
20/05/2016;3871.75
23/05/2016;3863.82
24/05/2016;3916.77
25/05/2016;3944.33
26/05/2016;3944.05
27/05/2016;3961.67
31/05/2016;3957.95
01/06/2016;3963.1
02/06/2016;3974.76
03/06/2016;3963.23
06/06/2016;3982.74
07/06/2016;3987.96
08/06/2016;4001.98
09/06/2016;3995.28
10/06/2016;3958.68
13/06/2016;3927.73
14/06/2016;3920.93
15/06/2016;3914.02
16/06/2016;3926.93
17/06/2016;3914.15
20/06/2016;3936.91
21/06/2016;3947.94
22/06/2016;3941.45
23/06/2016;3994.18
24/06/2016;3850.7
27/06/2016;3781.02
28/06/2016;3849.05
29/06/2016;3915.1
30/06/2016;3968.21
01/07/2016;3976.68
05/07/2016;3949.72
06/07/2016;3972.26
07/07/2016;3969.19
08/07/2016;4029.75
11/07/2016;4043.49
12/07/2016;4071.85
13/07/2016;4072.77
14/07/2016;4094.28
15/07/2016;4090.49
18/07/2016;4100.4
19/07/2016;4094.61
20/07/2016;4112.61
21/07/2016;4097.82
22/07/2016;4116.5
25/07/2016;4104.13
26/07/2016;4105.57
27/07/2016;4100.81
28/07/2016;4107.75
29/07/2016;4114.51
01/08/2016;4109.28
02/08/2016;4083.25
03/08/2016;4097.3
04/08/2016;4099.21
05/08/2016;4134.56
08/08/2016;4131.19
09/08/2016;4132.96
10/08/2016;4122.65
11/08/2016;4142.72
12/08/2016;4139.63
15/08/2016;4151.69
